lang,libro,capitulo,versiculo,texto
ncx,%c3%89xodo,1,1,"Ijkin omotokayotiayaj ikoneuan Israel tlen iuan oajsitoj Egipto, sejse tlakatl oajsito iuan ifamilia:"
es,%c3%89xodo,1,1,"Ahora bien, estos son los nombres de los hijos de Israel que llegaron a Egipto con él, cada hombre con su casa:"
ncx,%c3%89xodo,1,2,"Rubén, Simeón, Leví uan Judá."
es,%c3%89xodo,1,2,"Rubén, Simeón, Leví y Judá;"
ncx,%c3%89xodo,1,3,"Isacar, Zabulón uan Benjamín."
es,%c3%89xodo,1,3,"Isacar, Zabulón y Benjamín;"
ncx,%c3%89xodo,1,4,"Dan, Neftalí, Gad uan Aser."
es,%c3%89xodo,1,4,"Dan y Neftalí, y Gad y Aser."
ncx,%c3%89xodo,1,5,Nochtin ixuiuan Jacob okatkaj 70 uan José yochantiaya Egipto.
es,%c3%89xodo,1,5,"En total, los descendientes de Jacob eran 70. Y José ya estaba en Egipto."
ncx,%c3%89xodo,1,6,"Satepan José omiki, noijki omikej nochtin ikniuan uan akinmej ijkuakon oyoltokaj."
es,%c3%89xodo,1,6,Al final murió José y también murieron todos sus hermanos y toda aquella generación.
ncx,%c3%89xodo,1,7,"Israelitas okinpixkej miakej inkoneuan uan opejki momiakiliaj. San niman omomiakilijkej uan omochijkej sapanoua chikauakej, ikinon okitemitijkej non tlali."
es,%c3%89xodo,1,7,"Los israelitas tuvieron muchos hijos y empezaron a multiplicarse, y llegaron a ser muchos y muy poderosos a un ritmo extraordinario, de modo que llenaron la región."
ncx,%c3%89xodo,1,8,Satepan okse tekiua tlen amo okixmatiaya José opejki tlanauatia Egipto.
es,%c3%89xodo,1,8,Pasó el tiempo y un rey nuevo que no conocía a José subió al poder en Egipto.
ncx,%c3%89xodo,1,9,Ye okilui ialtepe: “Israelitas okachi miakej uan okachi chikauakej amo ken tejuan.
es,%c3%89xodo,1,9,Y le dijo a su pueblo: “¡Miren! El pueblo de Israel es más numeroso y poderoso que nosotros.
ncx,%c3%89xodo,1,10,"Moneki kuali tikitaskej tlen tikchiuaskej para ayakmo mamomiakilijtokan. Tla amo ijkon tikchiuaskej ijkuak mochiuas se guerra, yejuan kinpaleuiskej akinmej techkokoliaj, techmijmiktiskej uan yaskej”."
es,%c3%89xodo,1,10,"Tenemos que actuar con astucia para que no sigan multiplicándose. De lo contrario, si estalla una guerra, se unirán a nuestros enemigos, pelearán contra nosotros y se irán del país”."
ncx,%c3%89xodo,1,11,"Yejuan okintlalijkej akinmej okinnauatiayaj tlakeualmej para chikauak makintekipanoltikan israelitas uan ijkon okintlajyouiltiayaj. Okinchiualtijkej makichiuakan altepetl Pitom uan Raamsés, ompa okitlatiayaj tlakuali uan tlen okatka iaxka faraón."
es,%c3%89xodo,1,11,"Así que los pusieron a trabajar bajo la supervisión de capataces que los oprimían con trabajos forzados y los obligaron a construir las ciudades de Pitom y Raamsés, que sirvieron de almacenes para el faraón."
ncx,%c3%89xodo,1,12,"Pero ijkuak okachi okintlajyouiltiayaj, israelitas okachi omomiakiliayaj uan omoxitiniayaj. Egipcios sapanoua okinmimakasiayaj israelitas."
es,%c3%89xodo,1,12,"Pero, mientras más los oprimían, más se multiplicaban y se esparcían. De modo que los egipcios llegaron a tenerles muchísimo miedo a los israelitas."
ncx,%c3%89xodo,1,13,Ikinon okinchiualtijkej israelitas mayetokan tlakeualmej uan chikauak okintekipanoltijkej.
es,%c3%89xodo,1,13,"Por eso, los egipcios sometieron a los israelitas a una dura esclavitud."
ncx,%c3%89xodo,1,14,"Fiero okintlajyouiltiayaj porque chikauak okintekipanoltiayaj. Okinchiualtiayaj makipatlakan tlali uan makinchiuakan adobes, noijki okinnauatijkej makichiuakan tlatlamantli tekitl itech tlalmej. Okintlajyouiltijkej uan chikauak okintekipanoltijkej ika tlatlamantli tekitl tlen okichiuayaj tlakeualmej."
es,%c3%89xodo,1,14,"Les amargaron la vida obligándolos a trabajar muy duro: los pusieron a trabajar con mezcla de barro y ladrillos y a hacer todo tipo de labores en los campos. Así es, los maltrataron y los explotaron con todo tipo de trabajo de esclavos."
ncx,%c3%89xodo,1,15,"Satepan tekiua tlen otlanauatiaya Egipto, omotlapoui inuan ome parteras tlen okatkaj hebreas. Se omotokayotiaya Sifrá uan okse omotokayotiaya Pua."
es,%c3%89xodo,1,15,"Más tarde, el rey de Egipto habló con dos parteras hebreas que se llamaban Sifrá y Pua."
ncx,%c3%89xodo,1,16,"Tekiua okinmilui: “Ijkuak nankinpaleuiskej hebreas manesikan inkoneuan uan nankitaskej katej ipan silla kanin kipiaskej inkone, moneki ijkin nankichiuaskej: tla kipiaskej se chokotsin, xikmiktikan. Pero tla kipiaskej se takotsin, amo xikmiktikan”."
es,%c3%89xodo,1,16,"Les dijo: “Cuando ayuden a las hebreas a dar a luz y las vean en la silla de parto, deben hacer esto: si tienen un niño, mátenlo, pero, si tienen una niña, déjenla vivir”."
